REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
National,X,1999,15,1721,6.449738524,1,0,15,0,75,20,0
National,X,1999,16,1368,2.631578947,0,0,11,0,17,8,0
National,X,1999,17,1108,2.527075812,0,0,5,0,20,3,0
National,X,1999,18,982,1.731160896,0,0,3,0,10,4,0
National,X,1999,19,801,1.123595506,0,0,0,0,5,4,0
National,X,1999,20,618,1.132686084,0,0,0,0,6,1,0
National,X,1999,21,,,X,X,X,X,X,X,X
National,X,1999,22,,,X,X,X,X,X,X,X
National,X,1999,23,,,X,X,X,X,X,X,X
National,X,1999,24,,,X,X,X,X,X,X,X
National,X,1999,25,,,X,X,X,X,X,X,X
National,X,1999,26,,,X,X,X,X,X,X,X
National,X,1999,27,,,X,X,X,X,X,X,X
National,X,1999,28,,,X,X,X,X,X,X,X
National,X,1999,29,,,X,X,X,X,X,X,X
National,X,1999,30,,,X,X,X,X,X,X,X
National,X,1999,31,,,X,X,X,X,X,X,X
National,X,1999,32,,,X,X,X,X,X,X,X
National,X,1999,33,,,X,X,X,X,X,X,X
National,X,1999,34,,,X,X,X,X,X,X,X
National,X,1999,35,,,X,X,X,X,X,X,X
National,X,1999,36,,,X,X,X,X,X,X,X
National,X,1999,37,,,X,X,X,X,X,X,X
National,X,1999,38,,,X,X,X,X,X,X,X
National,X,1999,39,,,X,X,X,X,X,X,X
National,X,1999,40,1687,1.06698281,0,0,11,0,7,0,0
National,X,1999,41,1883,1.062134891,0,0,10,0,9,1,0
National,X,1999,42,2097,2.241297091,0,0,18,0,26,3,0
National,X,1999,43,2162,2.636447734,0,0,31,0,26,0,0
National,X,1999,44,2454,3.91198044,0,0,60,0,34,2,0
National,X,1999,45,2576,5.745341615,0,0,82,0,66,0,0
National,X,1999,46,2862,8.071278826,0,0,137,0,94,0,0
National,X,1999,47,2709,10.55740126,0,0,131,0,154,1,0
National,X,1999,48,3845,13.70611183,0,0,207,0,320,0,0
National,X,1999,49,4422,19.10900045,2,0,189,0,653,1,0
National,X,1999,50,5597,23.33392889,1,0,284,0,1017,4,0
National,X,1999,51,5575,30.95964126,2,0,341,0,1382,1,0
National,X,1999,52,7323,29.3732077,3,0,376,0,1768,4,0
National,X,2000,1,8423,24.9673513,2,0,378,0,1722,1,0
National,X,2000,2,7722,21.3027713,0,0,464,0,1179,2,0
National,X,2000,3,6242,16.72540852,2,0,302,0,737,3,0
National,X,2000,4,5482,12.6778548,3,0,244,0,443,5,0
National,X,2000,5,4550,10.65934066,10,0,153,0,321,1,0
National,X,2000,6,4059,10.15028332,7,0,126,0,275,4,0
National,X,2000,7,3523,7.465228498,10,0,69,0,178,6,0
National,X,2000,8,3142,6.365372374,18,0,41,0,132,9,0
National,X,2000,9,2698,3.706449222,9,0,26,0,60,5,0
National,X,2000,10,2195,3.416856492,22,0,18,0,29,6,0
National,X,2000,11,1960,2.704081633,19,0,7,0,22,5,0
National,X,2000,12,1879,1.756253326,13,0,1,0,16,3,0
National,X,2000,13,1708,1.229508197,7,0,3,0,8,3,0
National,X,2000,14,1506,1.261620186,6,0,1,0,8,4,0
National,X,2000,15,1294,1.70015456,9,0,0,0,8,5,0
National,X,2000,16,1212,1.897689769,3,0,5,0,10,5,0
National,X,2000,17,1108,1.444043321,3,0,0,0,9,4,0
National,X,2000,18,1061,0.942507069,2,0,0,0,2,6,0
National,X,2000,19,947,0.211193242,0,0,0,0,1,1,0
National,X,2000,20,865,0.231213873,0,0,0,0,0,2,0
National,X,2000,21,,,X,X,X,X,X,X,X
National,X,2000,22,,,X,X,X,X,X,X,X
National,X,2000,23,,,X,X,X,X,X,X,X
National,X,2000,24,,,X,X,X,X,X,X,X
National,X,2000,25,,,X,X,X,X,X,X,X
National,X,2000,26,,,X,X,X,X,X,X,X
National,X,2000,27,,,X,X,X,X,X,X,X
National,X,2000,28,,,X,X,X,X,X,X,X
National,X,2000,29,,,X,X,X,X,X,X,X
National,X,2000,30,,,X,X,X,X,X,X,X
National,X,2000,31,,,X,X,X,X,X,X,X
National,X,2000,32,,,X,X,X,X,X,X,X
National,X,2000,33,,,X,X,X,X,X,X,X
National,X,2000,34,,,X,X,X,X,X,X,X
National,X,2000,35,,,X,X,X,X,X,X,X
National,X,2000,36,,,X,X,X,X,X,X,X
National,X,2000,37,,,X,X,X,X,X,X,X
National,X,2000,38,,,X,X,X,X,X,X,X
National,X,2000,39,,,X,X,X,X,X,X,X
National,X,2000,40,1387,0.072098053,0,0,0,0,0,1,0
National,X,2000,41,1490,0.268456376,2,0,0,0,2,0,0
National,X,2000,42,1691,0.236546422,1,0,0,0,1,2,0
National,X,2000,43,1683,0.831847891,7,0,3,0,2,2,0
National,X,2000,44,1964,0.814663951,10,0,1,0,2,3,0
National,X,2000,45,1862,1.987110634,24,0,1,0,5,7,0
National,X,2000,46,2183,1.969766377,17,0,1,0,12,13,0
National,X,2000,47,2201,3.498409814,20,0,2,0,31,24,0
National,X,2000,48,2505,3.912175649,31,0,1,0,30,36,0
National,X,2000,49,2841,5.667018655,51,0,3,0,66,41,0
National,X,2000,50,3275,6.900763359,61,0,3,0,107,55,0
National,X,2000,51,3370,11.69139466,114,0,2,0,175,103,0
National,X,2000,52,3310,13.86706949,118,0,0,0,209,132,0
National,X,2001,1,3821,13.37346244,147,0,5,0,192,167,0
National,X,2001,2,4563,17.7953101,203,0,5,0,329,275,0
National,X,2001,3,5121,22.10505761,257,0,2,0,500,373,0
National,X,2001,4,5729,23.21522081,286,0,5,0,550,489,0
National,X,2001,5,5914,20.93337842,258,0,1,0,455,524,0
National,X,2001,6,5619,18.98914398,186,0,3,0,291,587,0
National,X,2001,7,4920,15.42682927,101,0,4,0,184,470,0
National,X,2001,8,4571,13.93568147,74,0,5,0,121,437,0
National,X,2001,9,4321,11.45568156,41,0,7,0,70,377,0
National,X,2001,10,3793,7.197469022,36,0,1,0,39,197,0
National,X,2001,11,3368,5.908551069,24,0,2,0,21,152,0
National,X,2001,12,3132,5.779054917,6,0,3,0,19,153,0
National,X,2001,13,2788,4.3758967,16,0,1,0,9,96,0
National,X,2001,14,2386,3.269069573,5,0,0,0,5,68,0
National,X,2001,15,2020,2.227722772,0,0,1,0,7,37,0
National,X,2001,16,1825,2.575342466,2,0,0,0,1,44,0
National,X,2001,17,1640,1.280487805,0,0,0,0,0,21,0
National,X,2001,18,1528,0.589005236,0,0,0,0,1,8,0
National,X,2001,19,1359,0.515084621,0,0,0,0,1,6,0
National,X,2001,20,1317,0.683371298,0,0,0,0,0,9,0
National,X,2001,21,,,X,X,X,X,X,X,X
National,X,2001,22,,,X,X,X,X,X,X,X
National,X,2001,23,,,X,X,X,X,X,X,X
National,X,2001,24,,,X,X,X,X,X,X,X
National,X,2001,25,,,X,X,X,X,X,X,X
National,X,2001,26,,,X,X,X,X,X,X,X
National,X,2001,27,,,X,X,X,X,X,X,X
National,X,2001,28,,,X,X,X,X,X,X,X
National,X,2001,29,,,X,X,X,X,X,X,X
National,X,2001,30,,,X,X,X,X,X,X,X
National,X,2001,31,,,X,X,X,X,X,X,X
National,X,2001,32,,,X,X,X,X,X,X,X
National,X,2001,33,,,X,X,X,X,X,X,X
National,X,2001,34,,,X,X,X,X,X,X,X
National,X,2001,35,,,X,X,X,X,X,X,X
National,X,2001,36,,,X,X,X,X,X,X,X
National,X,2001,37,,,X,X,X,X,X,X,X
National,X,2001,38,,,X,X,X,X,X,X,X
National,X,2001,39,,,X,X,X,X,X,X,X
National,X,2001,40,1154,0.693240901,0,0,4,0,3,1,0
National,X,2001,41,1415,0.35335689,0,0,2,0,3,0,0
National,X,2001,42,1468,0.544959128,0,0,3,0,5,0,0
National,X,2001,43,1583,1.073910297,0,0,9,0,8,0,0
National,X,2001,44,1704,0.762910798,1,0,6,0,6,0,0
National,X,2001,45,1843,0.705371677,0,0,12,0,1,0,0
National,X,2001,46,2096,2.194656489,0,0,37,0,8,1,0
National,X,2001,47,2052,1.608187135,0,0,25,0,5,3,0
National,X,2001,48,2401,3.082049146,0,0,50,0,23,1,0
National,X,2001,49,2331,3.560703561,1,0,34,0,43,5,0
National,X,2001,50,2434,4.601479047,2,0,39,0,69,2,0
National,X,2001,51,2915,5.797598628,3,0,44,0,118,4,0
National,X,2001,52,2621,8.393742846,0,0,51,0,168,1,0
National,X,2002,1,3531,9.742282639,0,0,108,0,234,2,0
National,X,2002,2,3900,13.84615385,0,0,144,0,390,6,0
National,X,2002,3,4696,19.74020443,1,0,268,0,653,5,0
National,X,2002,4,5816,21.37207703,4,0,387,0,840,12,0
National,X,2002,5,6466,22.79616455,3,0,450,0,997,24,0
National,X,2002,6,7191,22.79237936,6,0,613,0,1001,19,0
National,X,2002,7,7572,23.86423666,4,0,615,0,1160,28,0
National,X,2002,8,7358,24.91166078,11,0,538,0,1216,68,0
National,X,2002,9,6217,22.921023,8,0,384,0,947,86,0
National,X,2002,10,5368,21.18107303,7,0,264,0,730,136,0
National,X,2002,11,4337,18.51510261,6,0,156,0,475,166,0
National,X,2002,12,3763,15.12091416,2,0,103,0,254,210,0
National,X,2002,13,3332,13.7454982,3,0,44,0,127,284,0
National,X,2002,14,2660,12.40601504,3,0,20,0,72,235,0
National,X,2002,15,2329,10.86303134,4,0,17,0,40,192,0
National,X,2002,16,2001,13.09345327,6,0,18,0,12,226,0
National,X,2002,17,1820,8.571428571,1,0,9,0,8,138,0
National,X,2002,18,1643,10.22519781,1,0,11,0,7,149,0
National,X,2002,19,1655,8.761329305,1,0,0,0,4,140,0
National,X,2002,20,1467,5.998636673,1,0,0,0,1,86,0
National,X,2002,21,,,X,X,X,X,X,X,X
National,X,2002,22,,,X,X,X,X,X,X,X
National,X,2002,23,,,X,X,X,X,X,X,X
National,X,2002,24,,,X,X,X,X,X,X,X
National,X,2002,25,,,X,X,X,X,X,X,X
National,X,2002,26,,,X,X,X,X,X,X,X
National,X,2002,27,,,X,X,X,X,X,X,X
National,X,2002,28,,,X,X,X,X,X,X,X
National,X,2002,29,,,X,X,X,X,X,X,X
National,X,2002,30,,,X,X,X,X,X,X,X
National,X,2002,31,,,X,X,X,X,X,X,X
National,X,2002,32,,,X,X,X,X,X,X,X
National,X,2002,33,,,X,X,X,X,X,X,X
National,X,2002,34,,,X,X,X,X,X,X,X
National,X,2002,35,,,X,X,X,X,X,X,X
National,X,2002,36,,,X,X,X,X,X,X,X
National,X,2002,37,,,X,X,X,X,X,X,X
National,X,2002,38,,,X,X,X,X,X,X,X
National,X,2002,39,,,X,X,X,X,X,X,X
National,X,2002,40,1443,0,0,0,0,0,0,0,0
National,X,2002,41,1517,0.197758734,1,0,0,0,1,1,0
National,X,2002,42,1590,0,0,0,0,0,0,0,0
National,X,2002,43,1774,0.338218715,4,0,0,0,1,1,0
National,X,2002,44,1636,0.366748166,0,0,0,0,3,3,0
National,X,2002,45,1988,0.251509054,0,0,2,0,0,3,0
National,X,2002,46,2107,0.474608448,0,0,0,0,6,4,0
National,X,2002,47,2091,1.052128168,2,0,0,0,4,16,0
National,X,2002,48,1900,0.789473684,1,0,3,0,5,6,0
National,X,2002,49,2414,1.657000829,4,0,3,0,5,28,0
National,X,2002,50,2493,3.890894505,8,0,2,0,14,73,0
National,X,2002,51,2910,6.563573883,17,0,3,0,25,146,0
National,X,2002,52,2368,6.756756757,17,0,6,0,18,119,0
National,X,2003,1,2632,5.623100304,27,0,8,0,31,82,0
National,X,2003,2,2828,8.804809052,50,0,19,0,46,134,0
National,X,2003,3,3108,11.48648649,68,0,11,0,76,202,0
National,X,2003,4,3352,16.31861575,105,0,24,0,142,276,0
National,X,2003,5,4166,20.49927988,173,0,53,0,215,413,0
National,X,2003,6,4874,26.36438244,279,0,76,0,332,598,0
National,X,2003,7,4676,25.320787,253,0,115,0,299,517,0
National,X,2003,8,4416,22.55434783,253,0,126,0,249,368,0
National,X,2003,9,4348,22.21711132,275,0,101,0,233,357,0
National,X,2003,10,3633,18.68978805,199,0,87,0,179,214,0
National,X,2003,11,3422,17.1244886,175,0,62,0,174,175,0
National,X,2003,12,3435,14.643377,169,0,77,0,133,124,0
National,X,2003,13,2820,9.964539007,90,0,29,0,91,71,0
National,X,2003,14,2352,8.545918367,40,0,32,0,88,41,0
National,X,2003,15,2131,5.161895824,24,0,23,0,47,16,0
National,X,2003,16,1777,5.008441193,13,0,20,0,33,23,0
National,X,2003,17,1406,4.125177809,9,0,20,0,18,11,0
National,X,2003,18,1222,5.564648118,16,0,16,0,16,20,0
National,X,2003,19,1121,2.497769848,6,0,7,0,5,10,0
National,X,2003,20,931,2.040816327,7,0,3,0,3,6,0
National,X,2003,21,872,1.834862385,3,0,5,0,1,7,0
National,X,2003,22,705,0.85106383,0,0,2,0,0,4,0
National,X,2003,23,721,1.803051318,3,0,0,0,2,8,0
National,X,2003,24,683,1.02489019,0,0,3,0,0,4,0
National,X,2003,25,551,0.725952813,0,0,1,0,1,2,0
National,X,2003,26,439,0.455580866,1,0,1,0,0,0,0
National,X,2003,27,643,0.155520995,0,0,1,0,0,0,0
National,X,2003,28,632,0.474683544,0,0,2,0,1,0,0
National,X,2003,29,697,0.573888092,0,0,4,0,0,0,0
National,X,2003,30,636,0.628930818,0,0,4,0,0,0,0
National,X,2003,31,632,1.265822785,0,0,7,0,0,1,0
National,X,2003,32,632,0.316455696,0,0,2,0,0,0,0
National,X,2003,33,761,0.394218134,0,0,2,0,1,0,0
National,X,2003,34,649,0,0,0,0,0,0,0,0
National,X,2003,35,672,0,0,0,0,0,0,0,0
National,X,2003,36,512,0.390625,0,0,0,0,2,0,0
National,X,2003,37,604,0.165562914,0,0,1,0,0,0,0
National,X,2003,38,535,0.373831776,0,0,1,0,1,0,0
National,X,2003,39,414,0,0,0,0,0,0,0,0
National,X,2003,40,1430,1.538461538,0,0,2,0,19,1,0
National,X,2003,41,1682,4.577883472,0,0,3,0,74,0,0
National,X,2003,42,2176,11.62683824,0,0,17,0,235,1,0
National,X,2003,43,2568,17.83489097,0,0,56,0,398,4,0
National,X,2003,44,2753,19.43334544,0,0,100,0,435,0,0
National,X,2003,45,3553,24.26118773,1,0,273,0,585,3,0
National,X,2003,46,4595,28.09575626,0,0,381,0,908,2,0
National,X,2003,47,5942,33.12016156,0,0,585,0,1375,8,0
National,X,2003,48,6479,34.7430159,0,0,489,0,1752,10,0
National,X,2003,49,9598,34.059179,0,0,977,0,2260,32,0
National,X,2003,50,12422,32.92545484,0,0,1401,0,2660,29,0
National,X,2003,51,11783,30.79860816,0,0,1084,0,2525,20,0
National,X,2003,52,9748,24.73327862,0,0,569,0,1826,16,0
National,X,2003,53,8461,20.10400662,0,0,463,0,1226,12,0
National,X,2004,1,6936,12.42791234,0,0,280,0,573,9,0
National,X,2004,2,5411,9.33284051,0,0,169,0,331,5,0
National,X,2004,3,4329,6.006006006,0,0,96,0,161,3,0
National,X,2004,4,4166,3.984637542,0,0,93,0,70,3,0
National,X,2004,5,3661,2.922698716,1,0,46,0,58,2,0
National,X,2004,6,3530,1.841359773,0,0,24,0,36,5,0
National,X,2004,7,3136,1.785714286,0,0,29,0,19,8,0
National,X,2004,8,2559,1.484955061,0,0,16,0,10,12,0
National,X,2004,9,2651,0.678989061,0,0,4,0,6,8,0
National,X,2004,10,2369,0.590966653,0,0,2,0,6,6,0
National,X,2004,11,2239,0.580616347,0,0,4,0,7,2,0
National,X,2004,12,1801,1.332593004,0,0,5,0,4,15,0
National,X,2004,13,1850,0.918918919,0,0,3,0,5,9,0
National,X,2004,14,1778,0.506186727,0,0,0,0,1,8,0
National,X,2004,15,1564,0.959079284,0,0,0,0,3,12,0
National,X,2004,16,1449,1.6563147,0,0,2,0,11,11,0
National,X,2004,17,1377,0.798838054,0,0,0,0,4,7,0
National,X,2004,18,1298,0.693374422,0,0,0,0,3,6,0
National,X,2004,19,1241,0.161160355,0,0,0,0,0,2,0
National,X,2004,20,1105,0.36199095,0,0,0,0,1,3,0
National,X,2004,21,1055,0.568720379,0,0,1,0,2,3,0
National,X,2004,22,823,0.729040097,0,0,0,0,2,4,0
National,X,2004,23,793,0.378310214,0,0,0,0,1,2,0
National,X,2004,24,844,0.236966825,0,0,0,0,0,2,0
National,X,2004,25,741,0.4048583,0,0,1,0,1,1,0
National,X,2004,26,730,0.410958904,0,0,1,0,0,2,0
National,X,2004,27,573,0.17452007,0,0,0,0,0,1,0
National,X,2004,28,746,0.268096515,0,0,0,0,0,2,0
National,X,2004,29,563,0.355239787,0,0,0,0,0,2,0
National,X,2004,30,671,0,0,0,0,0,0,0,0
National,X,2004,31,628,0.318471338,0,0,1,0,0,1,0
National,X,2004,32,620,0.161290323,0,0,1,0,0,0,0
National,X,2004,33,647,0.154559505,0,0,0,0,0,1,0
National,X,2004,34,823,0.486026731,0,0,0,0,3,1,0
National,X,2004,35,827,0.483675937,0,0,4,0,0,0,0
National,X,2004,36,822,0.364963504,0,0,0,0,0,3,0
National,X,2004,37,907,0.771775083,0,0,1,0,4,2,0
National,X,2004,38,890,0.449438202,0,0,2,0,1,1,0
National,X,2004,39,919,1.523394995,0,0,4,0,8,2,0
National,X,2004,40,1860,0.64516129,0,0,5,0,3,4,0
National,X,2004,41,2154,0.649953575,0,0,10,0,3,1,0
National,X,2004,42,2412,1.616915423,0,0,16,0,12,11,0
National,X,2004,43,2620,1.221374046,0,0,13,0,12,7,0
National,X,2004,44,2771,1.623962468,0,0,19,0,10,16,0
National,X,2004,45,3074,2.01691607,0,0,28,0,10,24,0
National,X,2004,46,3310,2.779456193,0,0,41,0,30,21,0
National,X,2004,47,3111,1.960784314,0,0,18,0,22,21,0
National,X,2004,48,3826,3.580763199,0,0,65,0,40,32,0
National,X,2004,49,3846,5.018200728,0,0,88,0,73,32,0
National,X,2004,50,4359,6.561137876,1,0,114,0,126,45,0
National,X,2004,51,4509,11.77644711,1,0,186,0,290,54,0
National,X,2004,52,5807,16.75563975,0,0,340,0,510,123,0
National,X,2005,1,6921,18.56668112,2,0,405,0,712,166,0
National,X,2005,2,6646,16.94252182,2,0,308,0,634,182,0
National,X,2005,3,6948,21.34427173,2,0,377,0,892,212,0
National,X,2005,4,8010,23.29588015,1,0,514,0,1045,306,0
National,X,2005,5,8654,26.86618905,0,0,687,0,1214,424,0
National,X,2005,6,9684,26.54894672,2,0,640,0,1451,478,0
National,X,2005,7,10586,25.55261666,2,0,692,0,1398,613,0
National,X,2005,8,9710,23.46035015,1,0,524,0,1135,618,0
National,X,2005,9,8511,19.9506521,0,0,228,0,950,520,0
National,X,2005,10,7580,16.04221636,0,0,163,0,635,418,0
National,X,2005,11,6540,16.94189602,0,0,148,0,489,471,0
National,X,2005,12,5928,14.65924426,0,0,103,0,303,463,0
National,X,2005,13,5134,11.04402026,3,0,54,0,167,343,0
National,X,2005,14,3894,9.116589625,0,0,47,0,96,212,0
National,X,2005,15,3339,5.271039233,0,0,14,0,39,123,0
National,X,2005,16,2933,4.19365837,1,0,21,0,26,75,0
National,X,2005,17,2570,2.684824903,0,0,12,0,15,42,0
National,X,2005,18,2250,2.266666667,0,0,10,0,8,33,0
National,X,2005,19,2136,1.732209738,0,0,13,0,5,19,0
National,X,2005,20,1889,2.064584436,0,0,20,0,3,16,0
National,X,2005,21,1809,1.713653952,0,0,9,0,3,19,0
National,X,2005,22,1682,1.367419738,0,0,5,0,3,15,0
National,X,2005,23,1576,0.76142132,0,0,4,0,0,8,0
National,X,2005,24,1514,0.990752972,0,0,3,0,2,10,0
National,X,2005,25,1229,0.895036615,0,0,5,0,1,5,0
National,X,2005,26,1215,0.576131687,0,0,0,0,6,1,0
National,X,2005,27,1073,0.465983225,0,0,1,0,0,4,0
National,X,2005,28,991,0.201816347,0,0,0,0,0,2,0
National,X,2005,29,983,0.305188199,0,0,0,0,1,2,0
National,X,2005,30,1124,0.177935943,0,0,1,0,0,1,0
National,X,2005,31,1018,0,0,0,0,0,0,0,0
National,X,2005,32,964,0.414937759,0,0,3,0,1,0,0
National,X,2005,33,989,0.606673407,1,0,0,0,5,0,0
National,X,2005,34,1016,0.393700787,0,0,2,0,2,0,0
National,X,2005,35,1054,0.569259962,0,0,2,0,3,1,0
National,X,2005,36,1031,0.09699321,0,0,1,0,0,0,0
National,X,2005,37,1099,0.454959054,0,0,4,0,0,1,0
National,X,2005,38,1280,0.15625,0,0,2,0,0,0,0
National,X,2005,39,1421,0.492610837,0,0,2,0,4,1,0
National,X,2005,40,1894,0.580781415,0,0,6,0,4,1,0
National,X,2005,41,2191,0.547695116,0,0,6,0,4,2,0
National,X,2005,42,2349,1.064282673,0,0,12,0,8,5,0
National,X,2005,43,2780,0.503597122,0,0,6,0,6,2,0
National,X,2005,44,2890,0.795847751,0,0,13,0,7,3,0
National,X,2005,45,3320,1.295180723,1,0,21,0,14,7,0
National,X,2005,46,3861,1.217301217,2,0,18,0,23,4,0
National,X,2005,47,3268,1.591187271,0,0,19,0,30,3,0
National,X,2005,48,4056,2.859960552,1,0,57,0,56,2,0
National,X,2005,49,3863,5.539735957,1,0,126,0,79,8,0
National,X,2005,50,4618,8.640103941,0,0,269,0,125,5,0
National,X,2005,51,5418,12.75378368,1,0,296,0,383,11,0
National,X,2005,52,5829,13.48430262,2,0,336,0,425,23,0
National,X,2006,1,6417,11.71887175,1,0,259,0,468,24,0
National,X,2006,2,6378,13.2173095,4,0,297,0,520,22,0
National,X,2006,3,6255,14.11670663,4,0,285,0,565,29,0
National,X,2006,4,6732,15.73083779,4,0,308,0,714,33,0
National,X,2006,5,7029,16.68800683,6,0,314,0,779,74,0
National,X,2006,6,7226,17.94907279,9,0,321,0,825,142,0
National,X,2006,7,8105,19.5681678,17,0,372,0,1013,184,0
National,X,2006,8,7948,20.44539507,16,0,364,0,1003,242,0
National,X,2006,9,7978,22.58711457,29,0,435,0,942,396,0
National,X,2006,10,7819,22.43253613,54,0,411,0,881,408,0
National,X,2006,11,6995,19.74267334,40,0,276,0,624,441,0
National,X,2006,12,6444,18.46679081,79,0,181,0,498,432,0
National,X,2006,13,5424,17.97566372,63,0,134,0,340,438,0
National,X,2006,14,4459,13.56806459,38,0,53,0,202,312,0
National,X,2006,15,4032,11.35912698,24,0,51,0,142,241,0
National,X,2006,16,3499,9.888539583,24,0,30,0,74,218,0
National,X,2006,17,2675,7.476635514,10,0,2,0,53,135,0
National,X,2006,18,2516,7.750397456,7,0,7,0,53,128,0
National,X,2006,19,2453,7.215654301,12,0,0,0,49,116,0
National,X,2006,20,2399,5.627344727,6,0,1,0,41,87,0
National,X,2006,21,2058,6.316812439,9,0,0,0,28,93,0
National,X,2006,22,1663,4.690318701,9,0,0,0,19,50,0
National,X,2006,23,1444,3.808864266,9,0,0,0,8,38,0
