p_id,gq_id,gq_type,sporder,age,sex
486742704,G110010009013C1,C,121,19,2
486742703,G110010009013C1,C,122,19,2
486742702,G110010009013C1,C,123,28,2
486742701,G110010009013C1,C,124,19,2
486742700,G110010009013C1,C,125,18,2
486742699,G110010009013C1,C,126,24,2
486742698,G110010009013C1,C,127,19,2
486742697,G110010009013C1,C,128,21,2
486742696,G110010009013C1,C,129,18,2
486742695,G110010009013C1,C,130,21,2
486742694,G110010009013C1,C,131,20,2
486742693,G110010009013C1,C,132,19,2
486742692,G110010009013C1,C,133,22,2
486742691,G110010009013C1,C,134,19,2
486742690,G110010009013C1,C,135,21,2
486742689,G110010009013C1,C,136,21,2
486742688,G110010009013C1,C,137,20,2
486742687,G110010009013C1,C,138,19,2
486742686,G110010009013C1,C,139,23,2
486742685,G110010009013C1,C,140,18,2
486742684,G110010009013C1,C,141,20,2
486742683,G110010009013C1,C,142,23,2
486742682,G110010009013C1,C,143,18,2
486742681,G110010009013C1,C,144,18,2
486742680,G110010009013C1,C,145,23,2
486742679,G110010009013C1,C,146,22,2
486742678,G110010009013C1,C,147,18,2
486742677,G110010009013C1,C,148,18,2
486742676,G110010009013C1,C,149,19,2
486742675,G110010009013C1,C,150,23,2
486742674,G110010009013C1,C,151,19,2
486742673,G110010009013C1,C,152,22,2
486742672,G110010009013C1,C,153,21,2
486742671,G110010009013C1,C,154,22,2
486742670,G110010009013C1,C,155,19,2
486742669,G110010009013C1,C,156,19,2
486742668,G110010009013C1,C,157,18,2
486742667,G110010009013C1,C,158,22,2
486742666,G110010009013C1,C,159,21,2
486742665,G110010009013C1,C,160,27,2
486742664,G110010009013C1,C,161,22,2
486742663,G110010009013C1,C,162,19,2
486742662,G110010009013C1,C,163,19,2
486742661,G110010009013C1,C,164,19,2
486742660,G110010009013C1,C,165,18,2
486742659,G110010009013C1,C,166,19,2
486742658,G110010009013C1,C,167,19,2
486742657,G110010009013C1,C,168,24,2
486742656,G110010009013C1,C,169,18,2
486742655,G110010009013C1,C,170,18,2
486742654,G110010009013C1,C,171,22,2
486742653,G110010009013C1,C,172,21,2
486742652,G110010009013C1,C,173,24,2
486742651,G110010009013C1,C,174,18,2
486742650,G110010009013C1,C,175,20,2
486742649,G110010009013C1,C,176,19,2
486742648,G110010009013C1,C,177,23,2
486742647,G110010009013C1,C,178,21,2
486742646,G110010009013C1,C,179,28,2
486742645,G110010009013C1,C,180,18,2
486742644,G110010009013C1,C,181,18,2
486742643,G110010009013C1,C,182,26,2
486742642,G110010009013C1,C,183,19,2
486742641,G110010009013C1,C,184,21,2
486742640,G110010009013C1,C,185,20,2
486742639,G110010009013C1,C,186,24,2
486742638,G110010009013C1,C,187,19,2
486742637,G110010009013C1,C,188,20,2
486742636,G110010009013C1,C,189,19,2
486742635,G110010009013C1,C,190,18,2
486742634,G110010009013C1,C,191,18,2
486742633,G110010009013C1,C,192,18,2
486742632,G110010009013C1,C,193,23,2
486742631,G110010009013C1,C,194,23,2
486742630,G110010009013C1,C,195,19,2
486742629,G110010009013C1,C,196,18,2
486742628,G110010009013C1,C,197,19,2
486742627,G110010009013C1,C,198,18,2
486742626,G110010009013C1,C,199,19,2
486742625,G110010009013C1,C,200,19,2
486742624,G110010009013C1,C,201,19,2
486742623,G110010009013C1,C,202,20,2
486742622,G110010009013C1,C,203,19,2
486742621,G110010009013C1,C,204,22,2
486742620,G110010009013C1,C,205,23,2
486742619,G110010009013C1,C,206,19,2
486742618,G110010009013C1,C,207,19,2
486742617,G110010009013C1,C,208,21,2
486742616,G110010009013C1,C,209,19,2
486742615,G110010009013C1,C,210,22,2
486742614,G110010009013C1,C,211,31,2
486742613,G110010009013C1,C,212,19,2
486742612,G110010009013C1,C,213,19,2
486742611,G110010009013C1,C,214,22,2
486742610,G110010009013C1,C,215,21,2
486742609,G110010009013C1,C,216,21,2
486742608,G110010009013C1,C,217,21,2
486742607,G110010009013C1,C,218,19,2
486742606,G110010009013C1,C,219,32,2
486742605,G110010009013C1,C,220,18,2
486742604,G110010009013C1,C,221,18,2
486742603,G110010009013C1,C,222,18,2
486742602,G110010009013C1,C,223,19,2
486742601,G110010009013C1,C,224,20,2
486742600,G110010009013C1,C,225,20,2
486742599,G110010009013C1,C,226,19,2
486742598,G110010009013C1,C,227,20,2
486742597,G110010009013C1,C,228,18,2
486742596,G110010009013C1,C,229,20,2
486742595,G110010009013C1,C,230,23,2
486742594,G110010009013C1,C,231,22,2
486742593,G110010009013C1,C,232,20,2
486742592,G110010009013C1,C,233,19,2
486742591,G110010009013C1,C,234,21,2
486742590,G110010009013C1,C,235,23,2
486742589,G110010009013C1,C,236,23,2
486742588,G110010009013C1,C,237,20,2
486742587,G110010009013C1,C,238,19,2
486742586,G110010009013C1,C,239,18,2
486742585,G110010009013C1,C,240,19,2
486742584,G110010009013C1,C,241,18,2
486742583,G110010009013C1,C,242,19,2
486742582,G110010009013C1,C,243,19,2
486742581,G110010009013C1,C,244,18,2
486742580,G110010009013C1,C,245,20,2
486742579,G110010009013C1,C,246,20,2
486742578,G110010009013C1,C,247,24,2
486742577,G110010009013C1,C,248,18,2
486742576,G110010009013C1,C,249,19,2
486742575,G110010009013C1,C,250,19,2
486742574,G110010009013C1,C,251,19,2
486742573,G110010009013C1,C,252,19,2
486742572,G110010009013C1,C,253,18,2
486742571,G110010009013C1,C,254,19,2
486742570,G110010009013C1,C,255,18,2
486742569,G110010009013C1,C,256,22,2
486742568,G110010009013C1,C,257,20,2
486742567,G110010009013C1,C,258,19,2
486742566,G110010009013C1,C,259,21,2
486742565,G110010009013C1,C,260,18,2
486742564,G110010009013C1,C,261,21,2
486742563,G110010009013C1,C,262,23,2
486742562,G110010009013C1,C,263,21,2
486742561,G110010009013C1,C,264,19,2
486742560,G110010009013C1,C,265,21,2
486742559,G110010009013C1,C,266,24,2
486742558,G110010009013C1,C,267,19,2
486742557,G110010009013C1,C,268,19,2
486742556,G110010009013C1,C,269,19,2
486742555,G110010009013C1,C,270,22,2
486742554,G110010009013C1,C,271,18,2
486742553,G110010009013C1,C,272,18,2
486742552,G110010009013C1,C,273,19,2
486742551,G110010009013C1,C,274,19,2
486742550,G110010009013C1,C,275,19,2
486742549,G110010009013C1,C,276,22,2
486742548,G110010009013C1,C,277,20,2
486742547,G110010009013C1,C,278,19,2
486742546,G110010009013C1,C,279,24,2
486742545,G110010009013C1,C,280,19,2
486742544,G110010009013C1,C,281,21,2
486742543,G110010009013C1,C,282,18,2
486742542,G110010009013C1,C,283,18,2
486742541,G110010009013C1,C,284,23,2
486742540,G110010009013C1,C,285,19,2
486742539,G110010009013C1,C,286,19,2
486742538,G110010009013C1,C,287,18,2
486742537,G110010009013C1,C,288,22,2
486742536,G110010009013C1,C,289,28,2
486742535,G110010009013C1,C,290,18,2
486742534,G110010009013C1,C,291,19,2
486742533,G110010009013C1,C,292,18,2
486742532,G110010009013C1,C,293,18,2
486742531,G110010009013C1,C,294,19,2
486742530,G110010009013C1,C,295,19,2
486742529,G110010009013C1,C,296,18,2
486742528,G110010009013C1,C,297,22,2
486742527,G110010009013C1,C,298,20,2
486742526,G110010009013C1,C,299,20,2
486742525,G110010009013C1,C,300,21,2
486742524,G110010009013C1,C,301,24,2
486742523,G110010009013C1,C,302,20,2
486742522,G110010009013C1,C,303,19,2
486742521,G110010009013C1,C,304,19,2
486742520,G110010009013C1,C,305,18,2
486742519,G110010009013C1,C,306,19,2
486742518,G110010009013C1,C,307,22,2
486742517,G110010009013C1,C,308,19,2
486742516,G110010009013C1,C,309,19,2
486742515,G110010009013C1,C,310,20,2
486742514,G110010009013C1,C,311,19,2
486742513,G110010009013C1,C,312,21,2
486742512,G110010009013C1,C,313,18,2
486742511,G110010009013C1,C,314,21,2
486742510,G110010009013C1,C,315,20,2
486742509,G110010009013C1,C,316,18,2
486742508,G110010009013C1,C,317,22,2
486742507,G110010009013C1,C,318,20,2
486742506,G110010009013C1,C,319,18,2
486742505,G110010009013C1,C,320,21,2
486742504,G110010009013C1,C,321,18,2
486742503,G110010009013C1,C,322,19,2
486742502,G110010009013C1,C,323,20,2
486742501,G110010009013C1,C,324,19,2
486742500,G110010009013C1,C,325,21,2
486742499,G110010009013C1,C,326,20,2
486742498,G110010009013C1,C,327,19,2
486742497,G110010009013C1,C,328,19,2
486742496,G110010009013C1,C,329,18,2
486742495,G110010009013C1,C,330,19,2
486742494,G110010009013C1,C,331,21,2
486742493,G110010009013C1,C,332,19,2
486742492,G110010009013C1,C,333,19,2
486742491,G110010009013C1,C,334,22,2
486742490,G110010009013C1,C,335,23,2
486742489,G110010009013C1,C,336,20,2
486742488,G110010009013C1,C,337,18,2
486742487,G110010009013C1,C,338,19,2
486742486,G110010009013C1,C,339,18,2
486742485,G110010009013C1,C,340,22,2
486742484,G110010009013C1,C,341,19,2
486742483,G110010009013C1,C,342,22,2
486742482,G110010009013C1,C,343,19,2
486742481,G110010009013C1,C,344,18,2
486742480,G110010009013C1,C,345,22,2
486742479,G110010009013C1,C,346,18,2
486742478,G110010009013C1,C,347,20,2
486742477,G110010009013C1,C,348,19,2
486742476,G110010009013C1,C,349,19,2
486742475,G110010009013C1,C,350,19,2
486742474,G110010009013C1,C,351,20,2
486742473,G110010009013C1,C,352,18,2
486742472,G110010009013C1,C,353,22,2
486742471,G110010009013C1,C,354,19,2
486742470,G110010009013C1,C,355,24,2
486742469,G110010009013C1,C,356,18,2
486742468,G110010009013C1,C,357,19,2
486742467,G110010009013C1,C,358,20,2
486742466,G110010009013C1,C,359,19,2
486742465,G110010009013C1,C,360,18,2
486742464,G110010009013C1,C,361,18,2
486742463,G110010009013C1,C,362,19,2
486742462,G110010009013C1,C,363,24,2
486742461,G110010009013C1,C,364,22,2
486742460,G110010009013C1,C,365,19,2
486742459,G110010009013C1,C,366,23,2
486742458,G110010009013C1,C,367,20,2
486742457,G110010009013C1,C,368,23,2
486742456,G110010009013C1,C,369,23,2
486742455,G110010009013C1,C,370,19,2
486742454,G110010009013C1,C,371,19,2
486742453,G110010009013C1,C,372,24,2
486742452,G110010009013C1,C,373,19,2
486742451,G110010009013C1,C,374,23,2
486742450,G110010009013C1,C,375,23,2
486742449,G110010009013C1,C,376,18,2
486742448,G110010009013C1,C,377,19,2
486742447,G110010009013C1,C,378,19,2
486742446,G110010009013C1,C,379,21,2
486742445,G110010009013C1,C,380,20,2
486742444,G110010009013C1,C,381,21,2
486742443,G110010009013C1,C,382,19,2
486742442,G110010009013C1,C,383,20,2
486742441,G110010009013C1,C,384,21,2
486742440,G110010009013C1,C,385,19,2
486742439,G110010009013C1,C,386,19,2
486742438,G110010009013C1,C,387,22,2
486742437,G110010009013C1,C,388,21,2
486742436,G110010009013C1,C,389,19,2
486742435,G110010009013C1,C,390,23,2
486742434,G110010009013C1,C,391,18,2
486742433,G110010009013C1,C,392,22,2
486742432,G110010009013C1,C,393,21,2
486742431,G110010009013C1,C,394,19,2
486742430,G110010009013C1,C,395,23,2
486742429,G110010009013C1,C,396,21,2
486742428,G110010009013C1,C,397,19,2
486742427,G110010009013C1,C,398,22,2
486742426,G110010009013C1,C,399,21,2
486742425,G110010009013C1,C,400,18,2
486742424,G110010009013C1,C,401,18,2
486742423,G110010009013C1,C,402,21,2
486742422,G110010009013C1,C,403,19,2
486742421,G110010009013C1,C,404,22,2
486742420,G110010009013C1,C,405,19,2
486742419,G110010009013C1,C,406,28,2
486742418,G110010009013C1,C,407,23,2
486742417,G110010009013C1,C,408,19,2
486742416,G110010009013C1,C,409,19,2
486742415,G110010009013C1,C,410,23,2
486742414,G110010009013C1,C,411,18,2
486742413,G110010009013C1,C,412,20,2
486742412,G110010009013C1,C,413,19,2
486742411,G110010009013C1,C,414,18,2
486742410,G110010009013C1,C,415,21,2
486742409,G110010009013C1,C,416,19,2
486742408,G110010009013C1,C,417,18,2
486742407,G110010009013C1,C,418,23,2
486742406,G110010009013C1,C,419,24,2
486742405,G110010009013C1,C,420,21,2
486742404,G110010009013C1,C,421,19,2
486742403,G110010009013C1,C,422,23,2
486742402,G110010009013C1,C,423,19,2
486742401,G110010009013C1,C,424,23,2
486742400,G110010009013C1,C,425,18,2
486742399,G110010009013C1,C,426,21,2
486742398,G110010009013C1,C,427,21,2
486742397,G110010009013C1,C,428,18,2
486742396,G110010009013C1,C,429,19,2
486742395,G110010009013C1,C,430,19,2
486742394,G110010009013C1,C,431,19,2
486742393,G110010009013C1,C,432,21,2
486742392,G110010009013C1,C,433,18,2
486742391,G110010009013C1,C,434,22,2
486742390,G110010009013C1,C,435,19,2
486742389,G110010009013C1,C,436,19,2
486742388,G110010009013C1,C,437,20,2
486742387,G110010009013C1,C,438,18,2
486742386,G110010009013C1,C,439,19,2
486742385,G110010009013C1,C,440,22,2
486742384,G110010009013C1,C,441,21,2
486742383,G110010009013C1,C,442,19,2
486742382,G110010009013C1,C,443,24,2
486742381,G110010009013C1,C,444,19,2
486742380,G110010009013C1,C,445,19,2
486742379,G110010009013C1,C,446,23,2
486742378,G110010009013C1,C,447,20,2
486742377,G110010009013C1,C,448,21,2
486742376,G110010009013C1,C,449,35,2
486742375,G110010009013C1,C,450,19,2
486742374,G110010009013C1,C,451,18,2
486742373,G110010009013C1,C,452,20,2
486742372,G110010009013C1,C,453,21,2
486742371,G110010009013C1,C,454,19,2
486742370,G110010009013C1,C,455,18,2
486742369,G110010009013C1,C,456,22,2
486742368,G110010009013C1,C,457,21,2
486742367,G110010009013C1,C,458,19,2
486742366,G110010009013C1,C,459,20,2
486742365,G110010009013C1,C,460,22,2
486742364,G110010009013C1,C,461,18,2
486742363,G110010009013C1,C,462,19,2
486742362,G110010009013C1,C,463,18,2
486742361,G110010009013C1,C,464,19,2
486742360,G110010009013C1,C,465,18,2
486742359,G110010009013C1,C,466,21,2
486742358,G110010009013C1,C,467,23,2
486742357,G110010009013C1,C,468,21,2
486742356,G110010009013C1,C,469,19,2
486742355,G110010009013C1,C,470,20,2
486742354,G110010009013C1,C,471,20,2
486742353,G110010009013C1,C,472,22,2
486742352,G110010009013C1,C,473,19,2
486742351,G110010009013C1,C,474,22,2
486742350,G110010009013C1,C,475,19,2
486742349,G110010009013C1,C,476,21,2
486742348,G110010009013C1,C,477,21,2
486742347,G110010009013C1,C,478,22,2
486742346,G110010009013C1,C,479,18,2
486742345,G110010009013C1,C,480,19,2
486742344,G110010009013C1,C,481,18,2
486742343,G110010009013C1,C,482,20,2
486742342,G110010009013C1,C,483,24,2
486742341,G110010009013C1,C,484,19,2
486742340,G110010009013C1,C,485,19,2
486742339,G110010009013C1,C,486,19,2
486742338,G110010009013C1,C,487,19,2
486742337,G110010009013C1,C,488,21,2
486742336,G110010009013C1,C,489,24,2
486742335,G110010009013C1,C,490,19,2
486742334,G110010009013C1,C,491,19,2
486742333,G110010009013C1,C,492,24,2
486742332,G110010009013C1,C,493,19,2
486742331,G110010009013C1,C,494,23,2
486742330,G110010009013C1,C,495,21,2
486742329,G110010009013C1,C,496,24,2
486742328,G110010009013C1,C,497,21,2
486742327,G110010009013C1,C,498,19,2
486742326,G110010009013C1,C,499,23,2
486742325,G110010009013C1,C,500,19,2
486742324,G110010009013C1,C,501,19,2
486742323,G110010009013C1,C,502,18,2
486742322,G110010009013C1,C,503,18,2
486742321,G110010009013C1,C,504,19,2
486742320,G110010009013C1,C,505,19,2
486742319,G110010009013C1,C,506,18,2
486742318,G110010009013C1,C,507,22,2
486742317,G110010009013C1,C,508,20,2
486742316,G110010009013C1,C,509,19,2
486742315,G110010009013C1,C,510,18,2
486742314,G110010009013C1,C,511,18,2
486742313,G110010009013C1,C,512,23,2
486742312,G110010009013C1,C,513,23,2
486742311,G110010009013C1,C,514,18,2
486742310,G110010009013C1,C,515,22,2
486742309,G110010009013C1,C,516,20,2
486742308,G110010009013C1,C,517,19,2
486742307,G110010009013C1,C,518,21,2
486742306,G110010009013C1,C,519,19,2
486742305,G110010009013C1,C,520,19,2
486742304,G110010009013C1,C,521,19,2
486742303,G110010009013C1,C,522,22,2
486742302,G110010009013C1,C,523,22,2
486742301,G110010009013C1,C,524,19,2
486742300,G110010009013C1,C,525,19,2
486742299,G110010009013C1,C,526,19,2
486742298,G110010009013C1,C,527,21,2
486742297,G110010009013C1,C,528,22,2
486742296,G110010009013C1,C,529,21,2
486742295,G110010009013C1,C,530,18,2
486742294,G110010009013C1,C,531,23,2
486742293,G110010009013C1,C,532,18,2
486742292,G110010009013C1,C,533,22,2
486742291,G110010009013C1,C,534,19,2
486742290,G110010009013C1,C,535,22,2
486742289,G110010009013C1,C,536,20,2
486742288,G110010009013C1,C,537,18,2
486742287,G110010009013C1,C,538,19,2
486742286,G110010009013C1,C,539,20,2
486742285,G110010009013C1,C,540,21,2
486742284,G110010009013C1,C,541,19,2
486742283,G110010009013C1,C,542,21,2
486742282,G110010009013C1,C,543,19,2
486742281,G110010009013C1,C,544,19,2
486742280,G110010009013C1,C,545,22,2
486742279,G110010009013C1,C,546,20,2
486742278,G110010009013C1,C,547,23,2
486742277,G110010009013C1,C,548,19,2
486742276,G110010009013C1,C,549,18,2
486742275,G110010009013C1,C,550,23,2
486742274,G110010009013C1,C,551,22,2
486742273,G110010009013C1,C,552,19,2
486742272,G110010009013C1,C,553,19,2
486742271,G110010009013C1,C,554,18,2
486742270,G110010009013C1,C,555,22,2
486742269,G110010009013C1,C,556,20,2
486742268,G110010009013C1,C,557,19,2
486742267,G110010009013C1,C,558,18,2
486742266,G110010009013C1,C,559,18,2
486742265,G110010009013C1,C,560,20,2
486742264,G110010009013C1,C,561,19,2
486742263,G110010009013C1,C,562,18,2
486742262,G110010009013C1,C,563,19,2
486742261,G110010009013C1,C,564,22,2
486742260,G110010009013C1,C,565,19,2
486742259,G110010009013C1,C,566,19,2
486742258,G110010009013C1,C,567,24,2
486742257,G110010009013C1,C,568,21,2
486742256,G110010009013C1,C,569,21,2
486742255,G110010009013C1,C,570,21,2
486742254,G110010009013C1,C,571,19,2
486742253,G110010009013C1,C,572,19,2
486742252,G110010009013C1,C,573,20,2
486742251,G110010009013C1,C,574,18,2
486742250,G110010009013C1,C,575,22,2
486742249,G110010009013C1,C,576,19,2
486742248,G110010009013C1,C,577,23,2
486742247,G110010009013C1,C,578,23,2
486742246,G110010009013C1,C,579,20,2
486742245,G110010009013C1,C,580,23,2
486742244,G110010009013C1,C,581,18,2
486742243,G110010009013C1,C,582,19,2
486742242,G110010009013C1,C,583,24,2
486742241,G110010009013C1,C,584,24,2
486742240,G110010009013C1,C,585,22,2
486742239,G110010009013C1,C,586,19,2
486742238,G110010009013C1,C,587,22,2
486742237,G110010009013C1,C,588,19,2
486742236,G110010009013C1,C,589,18,2
486742235,G110010009013C1,C,590,18,2
486742234,G110010009013C1,C,591,19,2
486742233,G110010009013C1,C,592,18,2
486742232,G110010009013C1,C,593,23,2
486742231,G110010009013C1,C,594,19,2
486742230,G110010009013C1,C,595,23,2
486742229,G110010009013C1,C,596,19,2
486742228,G110010009013C1,C,597,21,2
486742227,G110010009013C1,C,598,20,2
486742226,G110010009013C1,C,599,19,2
486742225,G110010009013C1,C,600,19,2
486742224,G110010009013C1,C,601,18,2
486742223,G110010009013C1,C,602,19,2
486742222,G110010009013C1,C,603,18,2
486742221,G110010009013C1,C,604,18,2
486742220,G110010009013C1,C,605,19,2
486742219,G110010009013C1,C,606,19,2
486742218,G110010009013C1,C,607,19,2
486742217,G110010009013C1,C,608,24,2
486742216,G110010009013C1,C,609,19,2
486742215,G110010009013C1,C,610,22,2
486742214,G110010009013C1,C,611,19,2
486742213,G110010009013C1,C,612,19,2
486742212,G110010009013C1,C,613,19,2
486742211,G110010009013C1,C,614,21,2
486742210,G110010009013C1,C,615,19,2
486742209,G110010009013C1,C,616,18,2
486742208,G110010009013C1,C,617,20,2
486742207,G110010009013C1,C,618,19,2
486742206,G110010009013C1,C,619,22,2
486742205,G110010009013C1,C,620,20,2
486742204,G110010009013C1,C,621,20,2
486742203,G110010009013C1,C,622,19,2
486742202,G110010009013C1,C,623,20,2
486742201,G110010009013C1,C,624,19,2
486742200,G110010009013C1,C,625,28,2
486742199,G110010009013C1,C,626,21,2
486742198,G110010009013C1,C,627,18,2
486742197,G110010009013C1,C,628,19,2
486742196,G110010009013C1,C,629,20,2
486742195,G110010009013C1,C,630,18,2
486742194,G110010009013C1,C,631,21,2
486742193,G110010009013C1,C,632,19,2
486742192,G110010009013C1,C,633,19,2
486742191,G110010009013C1,C,634,19,2
486742190,G110010009013C1,C,635,20,2
486742189,G110010009013C1,C,636,19,2
486742188,G110010009013C1,C,637,20,2
486742187,G110010009013C1,C,638,19,2
486742186,G110010009013C1,C,639,23,2
486742185,G110010009013C1,C,640,18,2
486742184,G110010009013C1,C,641,23,2
486742183,G110010009013C1,C,642,21,2
486742182,G110010009013C1,C,643,19,2
486742181,G110010009013C1,C,644,18,2
486742180,G110010009013C1,C,645,19,2
486742179,G110010009013C1,C,646,23,2
486742178,G110010009013C1,C,647,18,2
486742177,G110010009013C1,C,648,18,2
486742176,G110010009013C1,C,649,23,2
486742175,G110010009013C1,C,650,22,2
486742174,G110010009013C1,C,651,19,2
486742173,G110010009013C1,C,652,18,2
486742172,G110010009013C1,C,653,20,2
486742171,G110010009013C1,C,654,19,2
486742170,G110010009013C1,C,655,18,2
486742169,G110010009013C1,C,656,20,2
486742166,G110010009013C1,C,657,17,2
486742165,G110010009013C1,C,658,17,2
486741614,G110010009013C1,C,659,19,1
486741613,G110010009013C1,C,660,23,1
486741612,G110010009013C1,C,661,21,1
486741611,G110010009013C1,C,662,19,1
486741610,G110010009013C1,C,663,18,1
486741609,G110010009013C1,C,664,20,1
486741608,G110010009013C1,C,665,22,1
486741607,G110010009013C1,C,666,23,1
486741606,G110010009013C1,C,667,19,1
486741605,G110010009013C1,C,668,21,1
486741604,G110010009013C1,C,669,28,1
486741603,G110010009013C1,C,670,21,1
486741602,G110010009013C1,C,671,23,1
486741601,G110010009013C1,C,672,21,1
486741600,G110010009013C1,C,673,22,1
486741599,G110010009013C1,C,674,19,1
486741598,G110010009013C1,C,675,19,1
486741597,G110010009013C1,C,676,19,1
486741596,G110010009013C1,C,677,21,1
486741595,G110010009013C1,C,678,19,1
486741594,G110010009013C1,C,679,19,1
486741593,G110010009013C1,C,680,19,1
486741592,G110010009013C1,C,681,24,1
486741591,G110010009013C1,C,682,19,1
486741590,G110010009013C1,C,683,21,1
486741589,G110010009013C1,C,684,21,1
486741588,G110010009013C1,C,685,21,1
486741587,G110010009013C1,C,686,19,1
486741586,G110010009013C1,C,687,24,1
486741585,G110010009013C1,C,688,21,1
486741584,G110010009013C1,C,689,19,1
486741583,G110010009013C1,C,690,24,1
486741582,G110010009013C1,C,691,20,1
486741581,G110010009013C1,C,692,18,1
486741580,G110010009013C1,C,693,20,1
486741579,G110010009013C1,C,694,22,1
486741578,G110010009013C1,C,695,22,1
486741577,G110010009013C1,C,696,24,1
486741576,G110010009013C1,C,697,19,1
